"Article ID","State","State Code","Feature Name","Category","Slug","Meta Title","Meta Description","Status","Publish Date","Related Article 1","Related Article 2","Comparison Page"
"TX-007","Texas","TX","Property Tax Billing & Collection","Revenue","tx-property-tax-billing-collection","Texas: Property Tax Billing & Collection Compliance","Guide to property tax billing and collection procedures in Texas including timelines, penalties, and requirements.","published","2025-12-20","TX-006","CA-007","ca-tx-co-comparison-property-tax-billing"
"TX-008","Texas","TX","Single Audit Support (A-133/Uniform Guidance)","Financial Mgmt","tx-single-audit-support","Texas: Single Audit Support & Uniform Guidance Compliance","Complete guide to Single Audit requirements for Texas local governments including SEFA generation and federal compliance.","published","2025-12-20","TX-003","CA-008","ca-tx-co-comparison-single-audit"
"TX-009","Texas","TX","Time & Attendance (Clock In/Out)","HR","tx-time-attendance","Texas: Time & Attendance Tracking Compliance","Guide to accurate time and attendance tracking in Texas including record requirements and compliance.","published","2025-12-20","TX-005","CA-009","ca-tx-co-comparison-time-attendance"
"TX-010","Texas","TX","Utility Billing (Water, Sewer, Electric, Gas, Trash)","Revenue","tx-utility-billing","Texas: Utility Billing Compliance & Requirements","Guide to utility billing compliance in Texas including billing procedures, customer rights, and regulatory requirements.","published","2025-12-20","TX-007","CA-010","ca-tx-co-comparison-utility-billing"
"TX-011","Texas","TX","eProcurement Portal (Supplier Self-Service)","Procurement","tx-eprocurement-portal","Texas: eProcurement Portal & Supplier Self-Service Guide","Guide to implementing eProcurement portals in Texas including supplier access, bid management, and compliance.","published","2025-12-20","TX-010","CA-011","ca-tx-co-comparison-eprocurement"
"CO-001","Colorado","CO","Encumbrance Accounting","Financial Mgmt","co-encumbrance-accounting","Colorado: Encumbrance Accounting Requirements & Implementation","Guide to encumbrance accounting in Colorado including budget tracking and fiscal control requirements.","published","2025-12-20","CO-002","CA-001","ca-tx-co-comparison-encumbrance-accounting"
"CO-002","Colorado","CO","General Ledger with Fund Accounting (GASB 54)","Financial Mgmt","co-gasb-54-fund-accounting","Colorado: GASB 54 Fund Accounting Requirements & Implementation","Guide to GASB 54 fund balance classification in Colorado. Learn the five categories, reporting requirements, and best practices.","published","2025-12-20","CO-001","CA-002","ca-tx-co-comparison-gasb-54"
"CO-003","Colorado","CO","Grant Management (Federal, State, Foundation)","Financial Mgmt","co-grant-management","Colorado: Grant Management Requirements & Compliance Guide","Complete guide to managing federal, state, and foundation grants in Colorado. Tracking, reporting, and compliance requirements.","published","2025-12-20","CO-002","CA-003","ca-tx-co-comparison-grant-management"
"CO-004","Colorado","CO","Leave Management (PTO, Sick, FMLA)","HR","co-leave-management","Colorado: Leave Management Requirements & Compliance","Guide to Colorado leave laws: paid time off and federal FMLA requirements for local governments.","published","2025-12-20","CO-005","CA-004","ca-tx-co-comparison-leave-management"
"CO-005","Colorado","CO","Payroll Processing (Full-Service)","HR","co-payroll-processing","Colorado: Payroll Processing Requirements & Compliance","Complete guide to payroll processing in Colorado including wages, taxes, deductions, and reporting requirements.","published","2025-12-20","CO-004","CA-005","ca-tx-co-comparison-payroll-processing"
"CO-006","Colorado","CO","Property Tax Assessment (CAMA Integration)","Revenue","co-property-tax-assessment","Colorado: Property Tax Assessment & CAMA Integration Guide","Guide to property tax assessment requirements in Colorado including CAMA systems and tax code compliance.","published","2025-12-20","CO-007","CA-006","ca-tx-co-comparison-property-tax-assessment"
"CO-007","Colorado","CO","Property Tax Billing & Collection","Revenue","co-property-tax-billing-collection","Colorado: Property Tax Billing & Collection Compliance","Guide to property tax billing and collection procedures in Colorado including timelines, penalties, and requirements.","published","2025-12-20","CO-006","CA-007","ca-tx-co-comparison-property-tax-billing"
"CO-008","Colorado","CO","Single Audit Support (A-133/Uniform Guidance)","Financial Mgmt","co-single-audit-support","Colorado: Single Audit Support & Uniform Guidance Compliance","Complete guide to Single Audit requirements for Colorado local governments including SEFA generation and federal compliance.","published","2025-12-20","CO-003","CA-008","ca-tx-co-comparison-single-audit"
"CO-009","Colorado","CO","Time & Attendance (Clock In/Out)","HR","co-time-attendance","Colorado: Time & Attendance Tracking Compliance","Guide to accurate time and attendance tracking in Colorado including record requirements and compliance.","published","2025-12-20","CO-005","CA-009","ca-tx-co-comparison-time-attendance"
"CO-010","Colorado","CO","Utility Billing (Water, Sewer, Electric, Gas, Trash)","Revenue","co-utility-billing","Colorado: Utility Billing Compliance & Requirements","Guide to utility billing compliance in Colorado including billing procedures, customer rights, and regulatory requirements.","published","2025-12-20","CO-007","CA-010","ca-tx-co-comparison-utility-billing"
"CO-011","Colorado","CO","eProcurement Portal (Supplier Self-Service)","Procurement","co-eprocurement-portal","Colorado: eProcurement Portal & Supplier Self-Service Guide","Guide to implementing eProcurement portals in Colorado including supplier access, bid management, and compliance.","published","2025-12-20","CO-010","CA-011","ca-tx-co-comparison-eprocurement"
