L1 Code,L1 Label,L2 Code,L2 Label,"L3 
Code","L3 Label (✅ - Now, 🔸 - Next, 🔹 - Later)",Target QTR,Requirements,UI/UX Design,Tech. Design,Build / Dev,Test Strategy,QA Testing,Observability,E2E Testing,Remarks/Notes
,,,,02.01.04,🔹 Multiple simultaneous fiscal calendars within a single tenant,,,,,,,,,,Future advancement based on feedback.
,,02.02,Fiscal year definition and lifecycle,02.02.01,✅ 12+3+2 periods for each year,Q425,,,,,,,,,
,,,,02.02.02,✅ Add Fiscal Years as per calendar,Q425,,,,,,,,,
,,,,02.02.03,✅ Fiscal year open/close status,Q425,,,,,,,,,
,,02.03,Fiscal period status management,02.03.01,✅ Fiscal period open/close status,Q425,,,,,,,,,
,,,,02.03.02,✅ Module-level period open/close status,Q425,,,,,,,,,
,,02.04,Support for additional and special periods,02.04.01,✅ Special opening and closing periods (0 & 99),Q425,,,,,,,,,
,,,,02.04.02,"✅ Three adjustment/additional periods (13, 14, 15)",Q425,,,,,,,,,
,,02.05,Audit trail for FPM changes,02.05.01,✅  Audit trail for FPM changes,Q425,,,,,,,,,
03,Ledger Management ,03.01,Ledger definition and structure,03.01.01,✅ Comprehensive standard balances tracking,Q425,,,,,,,,,
,& Balances (LEDGER),,,03.01.02,✅ Monthly pre-encumbrance tracking,Q425,,,,,,,,,
,,,,03.01.03,✅ Separate budget amendments vs. transfers,Q425,,,,,,,,,
,,,,03.01.04,✅Monthly ledger balances,Q425,,,,,,,,,
,,,,03.01.05,✅ Full/modified accrual accounting basis (single balances),Q425,,,,,,,,,
,,,,03.01.06,🔸 Daily Cash Balances (for interest allocation),Q126,,,,,,,,,
,,03.02,Posting controls and balances,03.02.01,✅  Posting controls and balances,Q425,,,,,,,,,
,,03.03,Multi-ledger parallel processing,03.03.01,"🔹 Parallel ledger(s) for additional accounting bases (modified accrual, cash, modified cash)",,,,,,,,,,Future advancement based on feedback.
,,03.04,Ledger-level Security Access,03.04.01,✅  Ledger-level Security Access,Q126,,,,,,,,,
04,Statistical Accounts and Ledger ,04.01,Statistical account configuration,04.01.01,🔹 Statistical accounts,Q226,,,,,,,,,
,(STATIC),04.02,Statistical ledger definition and structure,04.02.01,🔹 Non-monetary measures / balances,Q226,,,,,,,,,
,,04.03,Statistical entries and posting with workflow,04.01.03,🔹 Statistical journal entries,Q226,,,,,,,,,
,,04.04,Statistical reports and inquiries,04.01.04,🔹 Statistical reports & inquiries,Q226,,,,,,,,,
,,04.05,Audit trail of statistical activities,04.01.05,🔹 Statistical data audit trail,Q226,,,,,,,,,
05,Allocations and Distributions,05.01,Balance allocation rules definition,05.01.01,✅ Manual allocation entries,Q425,,,,,,,,,
, (ALLOC),,,05.01.02,🔹 Allocation Rules and Engine,Q126,,,,,,,,,
,,05.02,Transaction distribution rules definition,05.02.01,✅ Manual distribution,Q425,,,,,,,,,
,,,,05.02.02,🔸 Transactional auto-distribution,Q126,,,,,,,,,
,,05.03,Allocation processing and workflow,05.03.01,🔹Allocation processing and workflow,Q126,,,,,,,,,
,,05.04,Distribution processing and workflow,05.04.01,🔸Distribution processing and workflow,Q126,,,,,,,,,
,,05.05,ADB and interest allocation,05.05.01,🔹ADB and interest allocation,Q126,,,,,,,,,
,,05.06,Audit trail of allocations,05.06.01,🔹Audit trail of allocations,Q126,,,,,,,,,
,,05.07,Audit trail of distributions,05.07.01,🔸Audit trail of distributions,Q126,,,,,,,,,
06,Automated Offset Entries,06.01,Inter-fund balancing configuration,06.01.01,✅ Inter-fund balancing configuration,Q126,,,,,,,,,
,,06.02,Inter-entity balancing configuration,06.02.01,🔹 Inter-entity balancing configuration,,,,,,,,,,Future advancement based on feedback.
,,06.03,Auto-generation of balancing entries,06.03.01,✅ Reciprocal inter-fund balancing (due-to/due-from entries),Q126,,,,,,,,,
,,,,06.03.02,✅ Consolidated cash using in-production FIN AP,Q425,,,,,,,,,
,,,,06.03.03,🔸 New Consolidated cash offset entries,Q126,,,,,,,,,
,,,,06.03.04,🔹 Non-reciprocal inter-fund transfers,Q226,,,,,,,,,
07,Budgetary Controls ,07.01,Budgetary revision adoption,07.01.01,✅ Budget journal entries,Q425,,,,,,,,,
,& Commitment Accounting ,,,07.01.02,🔸 Budget itemization,Q126,,,,,,,,,
,(BDGT-CNTRL),,,07.01.03,🔸 Monthly and biennial budgeting,Q226,,,,,,,,,
,,,,07.01.04,🔹 Approval workflows for budget transactions,Q126,,,,,,,,,
,,07.02,Budget amendment workflow,07.02.01,✅ Budget amendment workflow,Q425,,,,,,,,,B&P Budget amendment request is separate item under integration.
,,07.03,Budget transfer workflow,07.03.01,✅ Budget transfer journal entries,Q425,,,,,,,,,
,,,,07.03.02,🔹 Automated budget transfer requests,Q226,,,,,,,,,
,,07.04,Budget check rules configuration,07.04.01,✅ Budget check configuration,"Q425, Q126",,,,,,,,,Basic budget check configuration done in Q4. Group support to be built.
,,,,07.04.02,✅ Budget overrides,"Q425, Q126",,,,,,,,,
,,07.05,Encumbrance accounting workflow,07.05.01,✅ Encumbrance journal entries,Q425,,,,,,,,,
,,,,07.05.02,✅ PO-linked encumbrance booking,Q425,,,,,,,,,
,,,,07.05.03,🔹 Non-PO encumbrance booking and liquidation,Q226,,,,,,,,,
,,07.06,Pre-encumbrance accounting workflow,07.06.01,✅ Pre-encumbrance accounting workflow,Q425,,,,,,,,,
,,07.07,Budget integration with B&P,07.07.01,✅Budget integration with B&P,"Q126, Q425",,,,,,,,,
,,07.08,Budget data import/export,07.08.01,✅Budget data import/export,Q425,,,,,,,,,
,,07.09,Audit trail of budgetary activities,07.09.01,✅Audit trail of budgetary activities,Q425,,,,,,,,,
08,Integrations (INTGRTN),08.01,Integration with financial sub-systems,08.01.01,✅CoA segment and code combination lookup (⇨),"Q425, Q226",,,,,,,,,Code combination data entry is done in Q4. Lookup screen will be taken up later.
,,,,08.01.02,✅Fiscal period status check (⇨),Q425,,,,,,,,,API avaialble for fiscal period open/close check.
,,,,08.01.03,✅Budget check (⇨),Q425,,,,,,,,,API available for budget check.
,,,,08.01.04,"✅ Adapters for in-production FIN AP, PR(TBD), BR (⇦)",Q425,,,,,,,,,
,,,,08.01.05,✅Integrate with B&P (⇦),"Q425, Q126",,,,,,,,,
,,,,08.01.06,✅Integrate with PRO (⇦),Q425,,,,,,,,,
,,,,08.01.07,"🔸UB, T&R, ERM (⇦)","Q425, Q126",,,,,,,,,
,,,,08.01.08,🔹 Project Accounting (⇦),Q126,,,,,,,,,
,,,,08.01.09,🔹 Fixed Assets (⇦),"Q425, Q126",,,,,,,,,
,,,,08.01.10,🔹 EAM integration (⇦),Q126,,,,,,,,,
,,08.02,Reconciliation Design,08.02.01,✅Reconciliation (subledger<>ledger),Q126,,,,,,,,,
,,08.03,Bank Reconciliation feed,08.03.01,✅Bank Reconciliation feed to BR  (⇨),Q425,,,,,,,,,
09,Journal Entries (JE),09.01,JE accounting classification - categories and sources,09.01.01,"✅ Detailed journal entry classifications (sources, transactions)",Q425,,,,,,,,,
,,09.02,JE user-defined classification - tagging,09.02.01,✅ Comprehensive attributes/dimensions capture,Q425,,,,,,,,,
,,,,09.02.02,✅ Transaction-level tagging,Q425,,,,,,,,,
,,09.03,Journal entry maintenance operations,09.03.01,✅ Add/update/view/delete,Q425,,,,,,,,,
,,,,09.03.02,✅ Manual Copy & Reversal,Q425,,,,,,,,,
,,09.04,Journal entry workflow with validations,09.04.01,✅ Validation and posting,Q425,,,,,,,,,
,,,,09.04.02,🔸 Configurable approval workflows ,Q126,,,,,,,,,
,,,,09.04.03,🔹 Advanced workflow capabilities,Q126,,,,,,,,,
,,09.05,Journal entry templates,09.05.01,🔹 Journal entry templates,Q226,,,,,,,,,
,,09.06,Recurring journal entries,09.06.01,🔹 Recurring journal entries,"Q425, Q126",,,,,,,,,
,,09.07,Reversal journal entries,09.07.01,🔸 Auto-reversal journal entries,"Q425, Q126",,,,,,,,,
,,09.08,Journal entry import/export,09.08.01,✅ Journal entry import/export,Q425,,,,,,,,,
,,09.09,JE management,09.09.01,✅ Additional Period JEs,Q425,,,,,,,,,
,,,,09.09.02,✅ Closing JEs,Q425,,,,,,,,,
,,,,09.09.03,✅ Unposting JEs,Q425,,,,,,,,,
,,,,09.09.04,✅ JE Recovery,"Q425, Q126",,,,,,,,,
,,09.10,Audit trail of journal entry life-cycle,09.10.01,✅ Audit trail of journal entry life-cycle,Q425,,,,,,,,,
,,09.11,Journal entry integrations ,09.11.01,✅ Journal entry integrations API,Q425,,,,,,,,,
10,Closing Process (CLOSE),10.01,Month-end close,10.01.01,✅Simply monthly status management {02.03.01},Q425,,,,,,,,,
,,,,10.01.02,🔹 Assisted monthly closing checklist,,,,,,,,,,
,,,,10.01.03,"🔹 Monthly closing entries (accruals, RBNI, quity updates etc.)",,,,,,,,,,
,,10.02,Year-end close and roll-over,10.02.01,✅Year-end close (reclose) processing,Q425,,,,,,,,,
,,10.03,Assisted closing (checklists/procedures/workflow),10.03.01,🔹 Assisted closing (checklist) (AI?),,,,,,,,,,
,,,,10.03.02,🔹 Modified Accrual <> Accrual Adjustment Workflow,Q326,,,,,,,,,
,,10.04,Continuous closing to equity accounts,10.04.01,🔸Continuous close (propagation of beginning balances),Q425,,,,,,,,,
,,,,10.04.02,🔸 Continuous close (equity update),Q425,,,,,,,,,
,,10.05,Closing activity reports,10.05.01,✅Closing activity reports,Q126,,,,,,,,,
,,10.06,Audit trail of closing activities,10.06.01,✅Audit trail of closing activities,Q126,,,,,,,,,
11,Financial Reporting (GL-RPT),11.01,"Pre-defined GL operational reports (TB, GLDR, JEDR)",11.01.01,"✅ Essential GL reports (SMTB, GLDR, DAR, JEDR)","Q425, Q126",,,,,,,,,Report templates and trigger from inquiry screen is being done in Q4. Parameter screens will be done in Q1.
,,11.02,Interactive GL inquiries with drill-down capabilities,11.02.01,"✅ Interactive inquiries (hierarchy, drill-downs, summary and detail)","Q425, Q126",,,,,,,,,
,,11.03,GL dashboards and visualizations with drill-down capabilities,11.03.01,🔸Dashboards and visualizations and Command Center,Q126,,,,,,,,,
,,11.04,Proactive account monitoring and notification ,11.04.01,🔹 AI-assisted anomaly detection / audit (AI*),Q226,,,,,,,,,
,,,,11.04.02,🔹 Proactive account monitoring and notification (AI*),Q226,,,,,,,,,
,,11.05,"Comparative reports, trends and charts",11.05.01,"🔹Comparative reports, trends and charts",,,,,,,,,,
,,11.06,"YTD, QTD, MTD, As of, date-range reporting",11.06.01,"✅ YTD, QTD, MTD, As of, date-range reporting","Q425, Q126",,,,,,,,,
,,11.07,Audit Reports / Inquiries,11.07.01,✅ Audit Reports / Inquiries,Q126,,,,,,,,,Audit capture is being done during Q4. This is to provide inquiry/report to users on the captured audit history.
,,11.08,Reconciliation Reports / Inquiries,11.08.01,✅ Reconciliation Reports / Inquiries,Q126,,,,,,,,,
,,11.09,Compliance dashboard and notification,11.09.01,🔹Compliance dashboard and notification,Q226,,,,,,,,,
,,11.10,Reporting to State or external agencies,11.10.01,✅ State compliance reports using CoA crosswalks and hierarchies,"Q425, Q126",,,,,,,,,
,,,,11.10.02,🔹 Pre-built state compliance report libraries,Q326,,,,,,,,,
,,11.11,"Publish, distribute and export reports",11.11.01,✅ Excel and PDF exports,Q425,,,,,,,,,
12,Financial Statements (FIN-STMT),12.01,Financial statement design and setup,12.01.01,✅ Financial statements Reporting,"Q425, Q126",,,,,,,,,Single hierarchy support is being done in Q1. Multi-hierarchy to follow that.
,,12.02,Generate financial statements,12.02.01,✅ Generate Financial Statements,"Q425, Q126",,,,,,,,,Single hierarchy support is being done in Q1. Multi-hierarchy to follow that.
,,12.03,"Publish, distribute and export financial statements",12.03.01,"✅ Publish, distribute and export financial statements","Q425, Q126",,,,,,,,,Single hierarchy support is being done in Q1. Multi-hierarchy to follow that.
,,12.04,ACFR report preparation,12.04.01,🔹 ACFR builder,Q226,,,,,,,,,
,,12.05,Fund-level statements,12.05.01,✅ Fund-level statements,"Q425, Q126",,,,,,,,,Single hierarchy support is being done in Q1. Multi-hierarchy to follow that.
,,12.06,Entity-level statements,12.06.01,✅ Entity-level statements,"Q425, Q126",,,,,,,,,Single hierarchy support is being done in Q1. Multi-hierarchy to follow that.
,,12.07,Cash-flow statement preparation ,12.07.01,🔹 Cash-flow statement preparation workflow,Q226,,,,,,,,,
13,RBAC Security,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
